Unique identifier	Getty AAT type	skos:prefLabel @en	skos:broader	rdf:type (skos:)	skos:member	skos:altLabel @en	skos:editorialNote @en	dc:creator	dc:contributor	skos:historyNote @en	skos:note @en (getty)	skos:definition @en	skos:example @en	external concept (getty)	type of match (getty) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	external concept (wikidata)	type of match (wikidata) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	dct:source	skos:related
cracksMotif	concept	cracks (motif)	motifs	Concept	design	crack (motif)	"The term ""cracks"" within the context of graffiti refers to a specific motif or pattern that a graffitist may incorporate into their work. This motif, as the name suggests, mimics the appearance of cracks or fissures, and can be used in various ways to enhance the visual complexity and depth of a graffito. Cracks can be used as a background element, providing texture and visual interest to the surface on which the graffito is created. They can also be used within the fillings of a graffito, adding an additional layer of detail to the letters or images. The use of a cracks motif can create a sense of age, decay, or fragility, contributing to the overall narrative or aesthetic of the graffito."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300209168 	broadMatch				
crewsGraffiti	concept	crews (graffiti)	groupsOfPeople	Concept	graffitoCreator	crew (graffiti)	"In the context of graffiti, the term ""crews"" refers to a collective or group of two or more graffitists who have decided to collaborate or associate with each other. This association is often based on shared interests, styles, geographical locations, or friendships. Being part of a crew can provide a graffitist with a sense of community and support, as well as opportunities for collaboration and collective action. Crews often work together on larger graffiti projects, such as murals or productions, and may also engage in collective activities such as battles or exhibitions.
The formation of a crew is a significant aspect of graffiti culture, contributing to the development of shared identities and styles, as well as fostering a sense of camaraderie and competition within the graffiti community."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300192630 	broadMatch	https://www.wikidata.org/wiki/Q345844	closeMatch		
crossingOutGraffiti	concept	crossing out (graffiti)	publicAndInteractiveActivitiesGT	Concept	conceptIdea	crossing	"""Crossing out"" in the context of graffiti refers to the act of a graffitist deliberately painting or marking over the work of another graffitist. This act is often seen as a form of disrespect or challenge within the graffiti community, as it involves defacing or obscuring someone else's work. The motivations behind crossing out can vary. It may be done as a form of rivalry or competition, to claim territory, or to express disagreement or disapproval with the crossed-out work or the graffitist who created it. It can also be a way of drawing attention to oneself, as crossing out a well-known or respected graffito can be a provocative act that generates discussion and controversy."	Jona Schlegel $$ Stefan Worgin											
crownsMotifs	concept	crowns (motif)	motifs	Concept	design	crown (motif)	"In the context of graffiti, the ""crown"" is a significant motif that carries specific cultural connotations. As a visual element, it can be incorporated into a graffito in various ways, either as a standalone symbol or as part of a larger composition.
However, the crown motif holds a particular significance in the graffiti community as it is often used to denote a ""king"" - a graffitist who is recognised for their exceptional skill, prolific output, or significant influence within the graffiti scene. The act of adding a crown to a graffito can be seen as a form of self-assertion or a claim to status, although it is generally considered that the title of ""king"" should be bestowed by the community rather than self-proclaimed."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300046020 	closeMatch	https://www.wikidata.org/wiki/Q908430	closeMatch		
cutOutsGraffiti	concept	cut outs (graffiti)	pasteUpsGraffiti	Concept	graffitoType	cut out (graffiti) $$ cutouts $$ cutout	"""Cut outs"" in the context of graffiti refer to a specific type of street art technique. This involves the creation of an image, character, or text on a piece of paper or similar material, which is then cut out and affixed to a wall or other surface. The process of creating a cut out allows for a high degree of precision and detail, as the graffitist can take their time to craft the image or text before it is placed in a public space. The use of cut outs is a popular technique among graffitists for several reasons. Firstly, it allows for the creation of complex and detailed images that might be difficult to achieve with traditional spray paint or marker techniques. Secondly, it enables the graffitist to create their work in a private space before placing it in a public location, reducing the risk of being caught in the act of creating graffiti."	Jona Schlegel $$ Stefan Worgin			"""Shapes, forms, or figures cut from, or intended to be cut from, pieces of material such as paper, cardboard, wood, or cloth."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Cutouts’)"			http://vocab.getty.edu/page/aat/300257411 	closeMatch	https://www.wikidata.org/wiki/Q5137101	closeMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Cutouts’, 25 January 2021. http://vocab.getty.edu/page/aat/300257411.	
dedicationsGraffiti	concept	dedications (graffiti)	graffitiConcepts	Concept	conceptIdea	dedication (graffiti) 	"""Dedications"" in the context of graffiti refer to a specific type of graffito that is created as a tribute or homage to an individual, group, or crew. The person or group to whom the graffito is dedicated is typically mentioned or represented within the piece itself. This can take the form of their name, tag, or some other symbol or representation that is associated with them. Dedications are a way for graffitists to show respect and admiration for their peers, or to commemorate individuals who have had a significant impact on them or their community. They can also serve as a form of memorial for individuals who have passed away."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300026114	closeMatch	https://www.wikidata.org/wiki/Q1898184	broadMatch		
design	collection	design		Collection	graffitoComponent			Jona Schlegel											
designElementsAttributes	concept	design elements (attributes)	DesignElementsHN	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Fundamental ideas and components or parts that are observable in a visual design or work of art, such as lines, points, movement, forms, spaces, colors, textures, and patterns, among others."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Design Elements (Attributes)’)"			http://vocab.getty.edu/page/aat/300009699 	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Design Elements (Attributes)’, 25 January 2021. http://vocab.getty.edu/page/aat/300009699.	
DesignElementsHN	hierarchy name	Design Elements <hierarchy name>	PhysicalAttributesF	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""The Design Elements hierarchy contains terms for conventionalized and recurring shapes and arrangements of forms used in the design of many types of object and their ornament, that may be expressed regardless of their materials (e.g., ""rosettes;"" ""Celtic crosses""). Relation to other hierarchies: Terms for certain attributes related to shape or position are in the Attributes and Properties hierarchy (e.g., ""convex;"" ""concentric""). Terms for three-dimensional ornamental components or elements that exist only in a given material are found in the Components hierarchy (e.g., ""finials"")."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Design Elements (Hierarchy Name)’)"			http://vocab.getty.edu/page/aat/300123558	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Design Elements (Hierarchy Name)’, 25 January 2021. http://vocab.getty.edu/page/aat/300123558.	
documentGenres	concept	document genres	informationFormsObjects	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Refers to the various types or classifications of documents, which are typically physical or digital representations of a body of information that is designed with the capacity to communicate. For the broad meaning of documents as a separate concept in itself, use ""documents."""" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Document Genres’)"			http://vocab.getty.edu/page/aat/300026031	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Document Genres’, 25 January 2021. http://vocab.getty.edu/page/aat/300026031.	
documentsByFunctionGT	guide term	documents by function <guide term> 	documentGenres	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel			"""Collocates descriptors for documents that emphasize a specific purpose for which the document was created."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘<documents by Function>’)"			http://vocab.getty.edu/page/aat/300137955	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘<documents by Function>’, 25 January 2021. http://vocab.getty.edu/page/aat/300137955.	
drippingTechnique	concept	dripping (technique)	surfaceCoveringProcessesAndTechniquesGT	Concept	activity		"""Dripping"" in the context of graffiti refers to a technique employed by a graffitist where paint or ink is allowed to drip down the surface of the graffito intentionally. This technique can be used to create a variety of effects, from adding texture and depth to a piece, to conveying a sense of motion or spontaneity.
The use of dripping can also be seen as a form of rebellion against traditional artistic norms, which often value precision and control. By allowing the paint or ink to drip, the graffitist embraces unpredictability and the inherent messiness of the medium. This can give the graffito a raw, organic feel that reflects the often spontaneous and illicit nature of graffiti creation."	Jona Schlegel $$ Stefan Worgin			"""Technique of creating paintings by dripping or pouring paint in a semi-controlled manner onto the support."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Drip Painting’)"			http://vocab.getty.edu/page/aat/300053347 	closeMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Drip Painting’, 25 January 2021. http://vocab.getty.edu/page/aat/300053347.	
dripsBeginnersMark	concept	drips (beginners' mark)	accidentalSurfaceCoveringProcessesGT	Concept		drip (beginners' mark)	"""Drips"" in the context of graffiti can also indicate a beginner or less experienced graffitist, also referred to as a ""toy"" in the graffiti community. These unintentional drips typically result from a lack of control over the spray can, which can lead to an excess of paint being applied to the surface. This excess paint then drips down the surface, creating streaks that can disrupt the intended design of the graffito.
While some experienced graffitists may intentionally incorporate drips into their work as a stylistic choice, unintentional drips are generally seen as a sign of inexperience. They can detract from the overall appearance of the graffito, making it look messy or poorly executed. Therefore, gaining control over the spray can to prevent unintentional drips is often one of the first skills a new graffitist must master."	Jona Schlegel $$ Stefan Worgin											
dripsMotif	concept	drips (motif)	motifs	Concept	design	drip (motif)	"The term 'drips' within the context of graffiti refers to both a technique employed by graffitists and the resultant visual effect within the graffiti itself. It is not merely a by-product of the spray can medium, but a deliberate stylistic choice that contributes to the overall aesthetic and thematic resonance of the graffiti.
Drips are characterised by their distinct style, often manifesting as elongated, fluid lines that descend from the primary forms of the graffiti. They can be seen as a reductive technique, simplifying the overall design and drawing attention to the raw, unrefined nature of the medium. This technique is often utilised to evoke a sense of movement, dynamism, and spontaneity within the graffiti."	Jona Schlegel $$ Stefan Worgin											
etchingsGraffiti	concept	etchings (graffiti)	writingGraffiti	Concept	graffitoType	etching (graffiti)	"Etchings represent a distinct type of graffiti, created through the use of materials such as acid and etching techniques. Unlike traditional aerosol-based graffiti, etchings offer a unique aesthetic and a degree of permanence.
The creation of etched graffiti involves applying a corrosive substance onto a surface, usually glass or metal, and manipulating it to inscribe a design or text. This results in a visually striking form of graffiti writing that resists conventional removal methods, ensuring its enduring presence.
While etchings share some commonalities with traditional graffiti, such as communicative intent and territorial marking, they are distinguished by their unique production process and visual characteristics. This form of graffiti underscores the innovative spirit of graffitists, who continually explore new methods and materials for self-expression and community engagement."	Jona Schlegel $$ Stefan Worgin											
etchingTechnique	concept	etching (technique)	subtractiveProcessesAndTechniquesGT	Concept	activity		"Etching, as a technique within the realm of graffiti, involves the use of corrosive substances to inscribe a design or text onto a hard surface, typically glass or metal. This method diverges from the more common aerosol-based graffiti, offering a unique aesthetic and a high degree of permanence.
The etching technique requires careful application and manipulation of the corrosive substance to create the desired design. A result is a form of graffiti that is not only visually distinctive but also resistant to standard removal methods, ensuring its long-lasting presence in the public domain.
While the etching technique shares some similarities with traditional graffiti in terms of its communicative intent, it is set apart by its unique production process and visual characteristics. This technique exemplifies the innovative spirit of graffitists, who continually adapt and explore new methods for self-expression within their community."	Jona Schlegel $$ Stefan Worgin			"""Creating marks on the surface of a hard material such as metal or glass, by the controlled corrosive action of acid. Use ""etching (printing process)"" for the series of steps that includes printing from a bitten plate."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Etching (Corroding)’)"			http://vocab.getty.edu/page/aat/300053840 	closeMatch	https://www.wikidata.org/wiki/Q186986	exactMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Etching (Corroding)’, 25 January 2021. http://vocab.getty.edu/page/aat/300053840.	
fadingsGraffiti	concept	fadings (graffiti)	graffitiConcepts	Concept	componentPart	fading (graffiti)	"Fadings, in the context of graffiti, refer to a specific painting technique that creates a gradient effect. This technique is typically used to fill in the letters or the background of a graffito, adding depth and visual interest to the overall design.
The process of creating fadings involves the careful blending of one colour into another, resulting in a smooth transition that can add a sense of movement and dynamism to the graffiti. This technique requires a high level of skill and control over the spray can, as the graffitist must carefully modulate the pressure and distance to achieve the desired effect.
However, fadings are not merely a technique but also an outcome. The term can refer to the gradient effect itself, which is a distinctive stylistic feature of many graffiti. Fadings can greatly enhance the visual impact of a graffito, contributing to its aesthetic appeal and communicative power."	Jona Schlegel $$ Stefan Worgin											
fame	concept	fame	sociologicalConcepts	Concept	communityTerm		This concept is taken from the Getty AAT.	Jona Schlegel			"""Action or condition of being much talked about, chiefly in a good sense. Reputation derived from great achievements, celebrity, honor, renown."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Fame’)"			http://vocab.getty.edu/page/aat/300417274 	exactMatch	https://www.wikidata.org/wiki/Q1519566	exactMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Fame’, 25 January 2021. http://vocab.getty.edu/page/aat/300417274.	
figuresRepresentations	concept	figures (representations)	visualWorksByFunctionGT	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Representations of humans, animals, or mythical beasts, in any medium."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Figures (Representations)’)"			http://vocab.getty.edu/page/aat/300189808	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Figures (Representations)’, 25 January 2021. http://vocab.getty.edu/page/aat/300189808.	
figureWorks	concept	figure works	visualWorksByFunctionGT	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Works, in any medium, in which the primary or only subject is the human figure or figures. Used especially when no other iconography is depicted."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Figure Works’)"			http://vocab.getty.edu/page/aat/300391003	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Figure Works’, 25 January 2021. http://vocab.getty.edu/page/aat/300391003.	
fillInsGraffiti	concept	fill ins (graffiti)	graffitiConcepts	Concept	componentPart	fill in (graffiti)	"Fill ins, within the context of graffiti, denote the technique of colouring or patterning the interior of the letters in a graffito. This technique is a fundamental aspect of graffiti creation, contributing significantly to the visual impact and readability of the design.
The process of creating fill ins involves the application of colour or patterns within the outlined letters of a graffito. This can be achieved through a variety of techniques, including solid colour fills, gradients (or fadings), and intricate patterns. The choice of fill in technique and colour or pattern can greatly influence the overall aesthetic of the graffiti, adding depth, contrast, and visual interest.
Fill ins serve not only a decorative purpose but also a functional one, enhancing the legibility of the graffiti and helping the letters to stand out against the background. This technique is a testament to the graffitist's skill and creativity, allowing for a wide range of stylistic expressions within the confines of the letter forms."	Jona Schlegel $$ Stefan Worgin											
firstLiniesGraffiti	concept	first lines (graffiti)	outlinesGraffiti	Concept	componentPart	first line (graffiti) $$ lines, frist (graffiti) $$ line, first (graffiti)	"First lines, in the context of graffiti, refer to the initial sketch or outline of a graffito. This preliminary stage of the graffiti creation process serves as a foundational guide for the graffitist, providing a blueprint for the overall composition and design of the piece.
The process of creating first lines involves sketching the basic shapes and forms of the graffiti, often with a focus on the lettering. These lines are typically drawn lightly and may be rough or sketchy in nature. They serve as a guide for the subsequent stages of the graffiti creation process, including the application of fill ins and the final outline.
It's important to note that first lines are typically covered or obscured in the final graffito, as they are primarily used for composition and design purposes rather than as a visible element of the final piece. Despite their transient nature, first lines play a crucial role in the graffiti creation process, helping the graffitist to plan their work and achieve a balanced and cohesive design."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300015618	closeMatch				
firstRowsGraffiti	concept	first rows (graffiti)	openSpacesByLocationOrContextGT	Concept		rows, first (graffiti) $$ first row (graffiti)	"The term 'first row' in the context of graffiti refers to the area of a wall that is easily accessible from ground level. This portion of the wall is typically the most convenient for graffitists to reach without the aid of ladders, scaffolding, or other equipment. Given its accessibility, the first row often becomes a prime location for graffiti placement. However, due to its ease of reach, it is also an area that frequently gets covered or overlaid with new graffiti. This constant layering and overwriting reflect the dynamic and transient nature of graffiti culture, where visibility and space are often contested.
Despite the ephemeral nature of the works placed in the first row, this area plays a significant role within the graffiti landscape. It serves as a canvas for graffitists to express their creativity, communicate with their peers, and engage with the wider public."	Jona Schlegel $$ Stefan Worgin											
formAttributes	concept	form attributes	attributesAndPropertiesBySpecificTypeGT	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Characteristics and qualities of form."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Form Attributes’)"			http://vocab.getty.edu/page/aat/300226816	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Form Attributes’, 25 January 2021. http://vocab.getty.edu/page/aat/300226816.	
genderSignsMotifs	concept	gender signs (motif)	motifs	Concept	signAndElement	gender sign (motif)	"Gender signs, as motifs within the realm of graffiti, refer to symbols or signs that represent gender identities. These signs can appear as standalone motifs on a surface, or they may be incorporated into a larger composition, often in conjunction with text, messages, or slogans.
The use of gender signs in graffiti serves various purposes. They can be used to express the graffitist's own gender identity, comment on societal norms and expectations related to gender, or convey a specific message or statement about gender issues. The interpretation of these signs can depend on their context within the graffiti, as well as the cultural and societal norms of the viewer.
Despite their simplicity, gender signs can be powerful symbols within the graffiti landscape. They offer a means for graffitists to engage with complex issues of identity and society, and to communicate these ideas to a broad audience."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q48277	closeMatch		
geometricStyleGraffiti	concept	geometric style (graffiti)	stylesWriting	Concept	style	style, geometric	"The geometric style in graffiti refers to a specific approach where the design, particularly the lettering, adheres to geometric patterns or attributes. This style is characterised by its use of precise lines, angles, and shapes, which lend a sense of order and symmetry to the graffiti.
In the geometric style, letters are often deconstructed into their basic geometric components, such as squares, circles, and triangles. These elements are then reassembled or overlaid in a way that maintains the legibility of the letters while introducing a distinct visual complexity.
The geometric style is a testament to the graffitist's ability to manipulate and reinterpret traditional letter forms. It showcases the versatility of graffiti as a medium for creative expression, and the capacity of graffitists to innovate within the constraints of the alphabet."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q43114389	broadMatch		
gettingUpGraffiti	concept	getting up (graffiti)	fame	Concept	communityTerm		"Getting up' in the context of graffiti refers to the process of gaining recognition or fame within the graffiti community. This term encapsulates the ambition of many graffitists to make their mark and establish their presence within the graffiti-scape. The process of 'getting up' often involves creating and displaying graffiti in numerous or highly visible locations, thereby increasing the visibility of the graffitist's work. It may also involve developing a distinctive style or signature that sets the graffitist's work apart from others.
However, 'getting up' is not solely about visibility or quantity of work. It also involves earning the respect of peers within the graffiti community, often through demonstrating skill, creativity, and a commitment to the culture and ethos of graffiti."	Jona Schlegel $$ Stefan Worgin											
glories	concept	glories	motifs	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""In painting, sculpture, and artistic image-making of various kinds, representations of radiant light or luminosity emanating from divinities, holy persons, and other divine beings or objects, such as the Christian Lamb of God or the word ""God."" Sometimes used by extention to refer to the entire ensemble of light and beings or objects."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Glories’)"			http://vocab.getty.edu/page/aat/300263370	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Glories’, 25 January 2021. http://vocab.getty.edu/page/aat/300263370.	
graffiti	concept	graffiti	visualWorksByLocationOrContextGT	Concept	graffitoClass	graffito	"Graffiti, in its broadest sense, encompasses any intentional scribble, marking, or design created in public, communal, and even private spaces. This term serves as an umbrella for a wide range of subcategories, including 'street art', 'graffiti symbols', 'graffiti writings', and 'verbal graffiti', each with its own unique characteristics and cultural implications. Graffiti is often associated with the act of marking or altering a space without permission, typically in urban environments. It is a form of expression that transcends traditional boundaries, both physical and societal, to communicate a message, mark territory, or simply exist as a visual element within the graffiti-scape.
While the forms and styles of graffiti can vary greatly, they all share a common purpose: to make a statement, to communicate, and to exist within the public eye. Despite its often transient nature, graffiti plays a significant role in shaping the visual and cultural landscape of our urban environments."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300015613 $$ http://vocab.getty.edu/page/aat/300410270 	closeMatch $$ closeMatch	https://www.wikidata.org/wiki/Q17514	exactMatch		
graffitiConcepts	concept	graffiti concepts	conceptsInTheArtsAndHumanitiesGT	Concept			"Graffiti Concepts', a subcategory under the guide term 'Concepts in the Arts and Humanities' in the Getty Art & Architecture Thesaurus (AAT), encapsulates a range of specific ideas and elements that are integral to the understanding and practice of graffiti. This category serves as a collective term for various aspects of graffiti, each representing a unique facet of the graffiti culture and practice.
The concepts included within this category cover a broad spectrum, from the technical aspects of graffiti creation such as 'fill ins' and 'fadings', to thematic elements like 'concept walls' and 'memorials'. They also encompass different forms and purposes of graffiti, from 'commissioned works' to 'messages' and 'greetings'. By grouping these diverse concepts together, the 'Graffiti Concepts' category provides a comprehensive overview of the multifaceted nature of graffiti. It underscores the complexity and richness of graffiti as a form of expression, highlighting the myriad techniques, themes, and purposes that graffitists employ in their work."	Jona Schlegel $$ Stefan Worgin											
graffitists	concept	graffitists	peopleInTheArtsAndRelatedOccupationsGT	Concept	graffitoCreator	graffitist	"A 'graffitist' is an individual who engages in the creation of graffiti. This term is used to denote those who actively participate in the graffiti-scape, contributing to its richness and diversity through their unique expressions and styles. Graffitists are often characterised by their ability to manipulate traditional and non-traditional mediums to create visually striking designs in public, communal, and even private spaces. They employ a range of techniques and styles, from simple tags to complex murals, showcasing their creativity and skill. However, the role of a graffitist extends beyond the physical act of creating graffiti. Graffitists are also cultural participants and communicators, using their work to engage with their community, express their identity, and comment on societal issues.
It's important to note that the term 'graffitist' is not synonymous with 'artist'. While graffitists engage in a form of creative expression, their work exists within its own unique cultural and aesthetic context, separate from traditional art paradigms."	Jona Schlegel $$ Stefan Worgin			"""Refers to people who create humorous, satiric, obscene, or gang-related writings or drawings that are executed anonymously in public places, usually on walls and typically illegally."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Graffiti Artists’)"			http://vocab.getty.edu/page/aat/300312066	closeMatch	https://www.wikidata.org/wiki/Q15095148	exactMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Graffiti Artists’, 25 January 2021. http://vocab.getty.edu/page/aat/300312066.	
graffitoClass	collection	graffito class		Collection				Jona Schlegel											
graffitoComponent	collection	graffito component		Collection				Jona Schlegel											
graffitoCreator	collection	graffito creator		Collection				Jona Schlegel											
graffitoType	collection	graffito type		Collection				Jona Schlegel											
greetingsGraffiti	concept	greetings (graffiti)	graffitiConcepts	Concept	conceptIdea	greeting (graffiti)	Greetings, in the context of graffiti, refer to the practice of adding names to a graffito as a form of acknowledgment or salute. These names often belong to fellow graffitists or individuals who are recognised or respected within the graffiti community. The act of including a greeting within a graffito serves multiple purposes. It can be a way to pay respect, express solidarity, or establish a connection with the person being greeted. It's a testament to the communal aspect of graffiti culture, where recognition and relationships play a significant role. Greetings are typically considered on par with dedications in the hierarchy of graffiti elements. While they may not be the central focus of a graffito, their inclusion adds a layer of personal and social significance to the work, reflecting the interconnectedness of the graffiti-scape.	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q50809272	relatedMatch		
groupsOfPeople	concept	groups of people	peopleAgents	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""General term for types of groups of people."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Groups of People’)"			http://vocab.getty.edu/page/aat/300192630 	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Groups of People’, 25 January 2021. http://vocab.getty.edu/page/aat/300192630.	
hallsOfFameGraffiti	concept	halls of fame (graffiti)	openSpacesByLocationOrContextGT	Concept		hall of fame (graffiti)	"A 'Hall of Fame' in the context of graffiti refers to a well-known area where numerous graffiti works are created and displayed. Unlike a traditional art gallery, these spaces are not curated; instead, they serve as open canvases where graffitists are free to express their creativity and leave their mark. These areas often become significant within the graffiti community, acting as communal galleries where one can observe a variety of graffiti from different graffitists. They offer a snapshot of the local graffiti-scape, showcasing the diversity of styles, techniques, and themes present within the community. While the term 'Hall of Fame' is also used in the Getty AAT to refer to a built environment, its usage within the graffiti community is more fluid and open to interpretation. It can refer to any space, whether indoor or outdoor, that has become a hotspot for graffiti creation and display. The classification of 'Hall of Fame' within the broader taxonomy of graffiti concepts may require further discussion, given its unique characteristics and significance within the graffiti culture."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300005813 	broadMatch	https://www.wikidata.org/wiki/Q1046088	relatedMatch		
halosGlories	concept	halos (glories)	glories	Concept		halo (glories)	This concept is taken from the Getty AAT.	Jona Schlegel			"""Glories that comprise a circle, disk, series of lines, or rays of light with which the head of the sacred personage is surrounded. In Hellenistic and Roman art, halos are worn by the sun-god Helios and Roman emperors often appear with a crown of rays. The imagery was picked up in Christian art."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Halos (Glories)’)"			http://vocab.getty.edu/page/aat/300375684 	exactMatch	https://www.wikidata.org/wiki/Q3341893	exactMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Halos (Glories)’, 25 January 2021. http://vocab.getty.edu/page/aat/300375684.	
halosGraffiti	concept	halos (graffiti)	halosGlories	Concept	design	halo (graffiti)	A 'halo' in the context of graffiti refers to a motif that is often created above a tag, throw up, or piece. Resembling a holy sign, it serves as a symbol of respect and recognition, similar to the use of a 'crown' in graffiti. The inclusion of a halo in a graffito is a testament to the skill and reputation of the graffitist. It is often used to signify that the graffitist is highly skilled, respected, or even considered a 'king' within the graffiti community. Despite its simplicity, the halo is a powerful symbol within the graffiti-scape. It serves as a visual shorthand for the status and esteem of the graffitist, adding a layer of meaning and context to the graffiti.	Jona Schlegel $$ Stefan Worgin											
handstylesGraffiti	concept	handstyles (graffiti)	graffitiConcepts	Concept	communityTerm	handstyle	"Handstyles, within the context of graffiti, refer to the unique signature or tag style of a graffitist. This concept encapsulates the individualised lettering style that a graffitist develops and becomes known for within the graffiti community. Handstyles are often seen in tags, serving as a visual signature that allows the graffitist to be identified. They are a testament to the graffitist's skill and creativity, showcasing their ability to manipulate letter forms and create a distinctive style.
While handstyles are most commonly associated with tags, they can also appear in larger works such as pieces or writings, much like an artist signing their work. Some graffitists, like Keith Haring, are known for their unique handstyles that become a recognisable element of their larger works. Handstyles are dynamic and can evolve over time as the graffitist refines their style or adapts to new influences. They serve as a visual fingerprint within the graffiti-scape, marking the graffitist's presence and contributing to their reputation and identity within the graffiti community."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q16873917	exactMatch		
heartsMotifs	concept	hearts (motif)	motifs	Concept	signAndElement	heart (motif)	"A 'heart' in the context of graffiti refers to a motif that is often used for its universal symbolism of love, passion, and emotion. This motif can be incorporated into a graffito in various ways, from standalone designs to patterns, and even as a stylistic element in lettering.
The heart motif can be used to convey a range of messages or sentiments, depending on its context within the graffiti. It can express personal feelings, comment on societal issues related to love and relationships, or simply serve as a decorative element. In some instances, graffitists may also shape letters or entire words into a heart form, adding a layer of visual interest and complexity to their work. "	Jona Schlegel $$ Stefan Worgin			"""Refers to the highly conventionalized figure based on the shape of the human heart."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Hearts (Motifs)’)"			http://vocab.getty.edu/page/aat/300009874 	exactMatch	https://www.wikidata.org/wiki/Q826930	exactMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Hearts (Motifs)’, 25 January 2021. http://vocab.getty.edu/page/aat/300009874.	
helloMyNameIsGraffiti	concept	Hello My Name Is (graffiti)	stylesSticker	Concept	style		Hello My Name Is' in the context of graffiti refers to a specific style of sticker that serves as a canvas for a tag or handstyle. Originating from the ubiquitous 'Hello My Name Is' name badges, these stickers have been adopted by the graffiti community as a medium for their work. The 'Hello My Name Is' sticker style is characterised by the presence of a tag written over the sticker's original text. The tag, often created in the graffitist's unique handstyle, becomes the focal point of the sticker, transforming a mundane object into a piece of graffiti. This style of sticker graffiti offers a portable and versatile medium for graffitists.	Jona Schlegel $$ Stefan Worgin											
