Unique identifier;Getty AAT type;skos:prefLabel @en;skos:broader;rdf:type (skos:);skos:member;skos:altLabel @en;"skos:editorialNote @en ";skos:note @en (getty);skos:definition @en;skos:example @en;external concept (getty);type of match (getty) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch);external concept (wikidata);type of match (wikidata) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch);dct:source;skos:related
mechanicalStyleGraffiti;concept;mechanical style (graffiti);stylesWriting;Concept;style;style, mechanical;"The style of a graffiti writing that includes mechanical elements in the letters.";;;;;;;;;
memorialsGraffiti;concept;memorials (graffiti);graffitiConcepts;Concept;conceptIdea;memorial (graffiti);"This concept has two meanings: (1) it means a graffito to remember someone something like a dedication where a graffito was created to remember a person, or (2) a graffito that is actively preserverd by the community to remember someone, who died to early and was active as a graffitist and created this graffito.";-;;;http://vocab.getty.edu/page/aat/300006956;broadMatch;https://www.wikidata.org/wiki/Q5003624;broadMatch;;
messagesGraffiti;concept;messages (graffiti);graffitiConcepts;Concept;componentPart;message (graffiti);"This concept can mean two things: (1) A message can be part of the graffito and like a dedication can be a message to the fellow graffitist, a crew or other people, or (2) can also refer to the message the graffito wants to send as a whole. This message can be received differently and can mean different thing from the creator of the graffito, the observer and even the researcher.";;;;;;https://www.wikidata.org/wiki/Q628523;broadMatch;;
minimalismGraffiti;concept;minimalism (graffiti);stylesStreetArt;Concept;style;;"This concept refers to a graffiti writing style that is inspired by the art movement of Minimalism, but is not the same.";-;;;http://vocab.getty.edu/page/aat/300065758;broadMatch;https://www.wikidata.org/wiki/Q173436;broadMatch;;
mirroredGraffiti;concept;mirrored (graffiti);graffitiConcepts;Concept;style;;"Mirrored refers to a graffiti writing style, where the letters are created in a way, that you need a mirror to read this graffito.";;;;;;;;;
mosaicsGraffiti;concept;mosaics (graffiti);streetArtGraffiti;Concept;graffitoType;mosaic (graffiti);"This concept refers to a graffito type, which is created out of tiny pieces of tiles, glass or even mirrors. This small pieces are then attached to a surface to form a bigger picture.";" Images or patterns composed of small, regularly shaped pieces of durable material, usually stone or colored glass. Distinguished from ""opus sectile;"" which is composed of individually shaped pieces of durable material, usually stone or glass, which conform to the design or pattern.";;;http://vocab.getty.edu/page/aat/300015342;exactMatch;https://www.wikidata.org/wiki/Q133067;exactMatch;;
mosaicTechnique;concept;mosaic (technique);surfaceCoveringProcessesAndTechniquesGT;Concept;activity;;;A method of decorating surfaces with patterns or pictures composed of small, regularly-shaped pieces of colored durable material, such as stone or glass.;;;http://vocab.getty.edu/page/aat/300138684;exactMatch;;;;
motifs;concept;motifs;designElementsAttributes;Concept;;motif;;"Distinct or separable design elements, usually decorative, whether occurring singly as individual shapes. Distinguished from ""patterns (design elements);"" which are ornamental designs composed of repeated or combined motifs.";;;http://vocab.getty.edu/page/aat/300009700;exactMatch;;;;
muralsStreetArt;concept;murals (street art);streetArtGraffiti;Concept;graffitoType;mural (street art);"This is a type of graffito which is considered covering a wall in its full scale.";"Painted decorations or scenes that dominate a wall (or ceiling) surface. For works in other media that dominate a wall (or ceiling), use the more general term ""murals (any medium)"".";;;http://vocab.getty.edu/page/aat/300033644;exactMatch;https://www.wikidata.org/wiki/Q219423;exactMatch;;
muralsWriting;concept;murals (writing);writingGraffiti;Concept;graffitoType;mural (writing);;;;;;;;;;
naturalElementMotifs;concept;natural element motifs;motifs;Concept;;;;Decorative design motifs that contain elements from nature.;;;http://vocab.getty.edu/page/aat/300009907;exactMatch;;;;
ObjectsF;facet;Objects <facet>;;Concept;;;;"Includes terms for discrete tangible or visible things that are inanimate and produced by human endeavor, that is, that are either fabricated or given form by human activity. These range, in physical form, from built works to images and written documents. They range in purpose from utilitarian to the aesthetic. Also included are landscape features that provide the context for the built environment paintings, amphorae, facades, cathedrals, Brewster chairs, gardens.
";;;http://vocab.getty.edu/page/aat/300264092;exactMatch;;;;
openSpaces;concept;open spaces;OpenSpacesAndSiteElementsHN;Concept;;;;Spaces in urban environments designed as passages for pedestrians, and as social spaces, not as clearly delimited as parks, but sharing some of the same characteristics. Often these function as utilitarian connecting spaces between buildings, or simply as an open area designated by a municipal authority, but without the amenities or formality of a park.;;;http://vocab.getty.edu/page/aat/300008072;exactMatch;;;;
OpenSpacesAndSiteElementsHN;hierarchy name;Open Spaces and Site Elements <hierarchy name>;BuiltEnvironmentHN;Concept;;;;"The Open Spaces and Site Elements hierarchy contains terms for open spaces that are relatively coherent areas created and modified by many of the same concepts and processes that shape buildings and other structures (e.g.g., ""gardens"", ""plazas""), as well as descriptors for discrete manufactured or manipulated features found in or around open spaces, other cultural landscapes, or natural landscapes (e.g.g., ""flagpoles"", ""windbreaks""). Relation to Other Hierarchies: In the Components hierarchy are found terms for the structural systems and individual building parts (e.g.g., ""balloon frames"", ""garage doors"") that make up single built works as well as descriptors for rooms, spaces, and other large building subdivisions (e.g., ""kitchens""), and descriptors for the infrastructural system components found throughout the landscape (e.g.g., ""water mains"", ""overpasses""). Terms for the human-produced features of open spaces and cultural landscapes (e.g.g., ""lawns"", ""berms"") are found here, while descriptors for types of natural landscape features and their components (e.g.g., ""cliffs"", ""rivers"") are found in the Settlements and Landscapes hierarchy.";;;http://vocab.getty.edu/page/aat/300139081;exactMatch;;;;
openSpacesByLocationOrContextGT;guide term;open spaces by location or context <guide term>;openSpaces;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300008337;exactMatch;;;;
organicStyleGraffiti;concept;organic style (graffiti);stylesWriting;Concept;style;"style, organic ";;-;;;"http://vocab.getty.edu/page/aat/300191632 ";broadMatch;;;;
outlinesGraffiti;concept;outlines (graffiti);letterformComponents;Concept;componentPart;outline (graffiti);;-;;;;;;;;
paintStencilTechnique;concept;paint stencil (technique);surfaceCoveringProcessesAndTechniquesGT;Concept;activity;stencil, paint (technique);;-;;;"http://vocab.getty.edu/page/aat/300428775 ";exactMatch;;;;
paperStyleGraffiti;concept;paper style (graffiti);stylesWriting;Concept;style;style, paper;;;;;;;https://www.wikidata.org/wiki/Q11472;relatedMatch;;
pasteUpsGraffiti;concept;paste ups (graffiti);streetArtGraffiti;Concept;graffitoType;paste up (graffiti);;Graffiti art comprising images, usually on paper, affixed to surfaces using a wheat flour mixture.;;;"http://vocab.getty.edu/page/aat/300410376 ";exactMatch;https://www.wikidata.org/wiki/Q484196;exactMatch;;
peopleAgents;concept;people (agents);PeopleHN;Concept;;;;Members of the species Homo sapiens and their close extinct relatives, as distinguished from other animals, spirits, or other entities.;;;http://vocab.getty.edu/page/aat/300024979;exactMatch;;;;
peopleByOccupationGT;guide term;people by occupation <guide term>;peopleAgents;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300024980;exactMatch;;;;
peopleByStateOrConditionGT;guide term;people by state or condition <guide term>;peopleAgents;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300025912;exactMatch;;;;
PeopleHN;hierarchy name;People <hierarchy name>;AgentsF;Concept;;;;"The People hierarchy contains terms for the roles played by or condition of individual people (e.g., ""painter"") and multiple people (e.g., ""painters""), but not organizations. Included are roles for people's occupations or activities (e.g., ""conservators""), by biological or social roles (e.g., ""parents ""), and by other characteristics such as adherence to a particular belief (e.g., ""pacifists "") or social or physical condition (e.g., ""rulers""). Also included are terms for roles of multiple people defined by activity (e.g., ""steel bands "") and social, mental, or physical condition (e.g., ""poor""). Relation to other hierarchies: Terms for organized groups of people (e.g., ""firms;"" ""nations"") are found in the Organizations hierarchy. Terms for branches of learning, areas of specialization, and professional fields are found in the Disciplines hierarchy (e.g., ""mathematics;"" ""museology"").";;;http://vocab.getty.edu/page/aat/300024978;exactMatch;;;;
peopleInTheArtsAndRelatedOccupationsGT;guide term;people in the arts and related occupations <guide term>;peopleInTheHumanitiesGT;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300168331;exactMatch;;;;
peopleInTheHumanitiesGT;guide term;people in the humanities <guide term>;peopleByOccupationGT;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300025485;exactMatch;;;;
phoneticSigns;concept;phonetic signs;scriptAndTypeSigns;Concept;;;;"Individual written signs that correspond to separate speech sounds or to syllables in a spoken language.
";;;http://vocab.getty.edu/page/aat/300194779;exactMatch;;;;
photorealisticStyleGraffiti;concept;photorealistic style (graffiti);stylesStreetArt;Concept;style;style, photorealistic;"This street art graffiti style refers to a drawing that looks as realistic as a picture or even the reality.";-;;;http://vocab.getty.edu/page/aat/300022201;closeMatch;https://www.wikidata.org/wiki/Q939559;relatedMatch;;
physicalActivitiesBySpecificContextGT;guide term;physical activities by specific context <guide term>;PhysicalAndMentalActivitiesHN;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300239444;exactMatch;;;;
PhysicalAndMentalActivitiesHN;hierarchy name;Physical and Mental Activities <hierarchy name>;ActivitiesF;Concept;;;;"The Physical and Mental Activities hierarchy contains terms for activities ranging from single actions to complex sets of physical and mental pursuits. Mental activities are those performed entirely or primarily with the brain (e.g., ""meditation;"" ""studying""). Physical activities are those performed with other parts of the body or the body as a whole (e.g., ""ballooning;"" ""dancing (activity)""). Relation to other hierarchies: Terms for processes performed physically on or with materials or objects (e.g., ""carving"") are in the Processes and Techniques hierarchy. Terms for organizational, administrative, or intellectual activities conducted to achieve specific purposes (e.g., ""analysis"") are in the Functions hierarchy. Terms denoting occasions (e.g., ""coronations;"" ""races"") appear in the Events hierarchy.
";;;http://vocab.getty.edu/page/aat/300222468;exactMatch;;;;
PhysicalAttributesF;facet;Physical Attributes <facet>;;Concept;;;;"Includes terms for the perceptible or measurable characteristics of materials and artifacts as well as features of materials and artifacts that are not separable as components, and needed to catalog visual works. Included are characteristics such as size and shape, chemical properties of materials, qualities of texture and hardness, and features such as surface ornament. Examples borders, round, waterlogged, brittleness.
";;;http://vocab.getty.edu/page/aat/300264087;exactMatch;;;;
piecesGraffiti;concept;pieces (graffiti);writingGraffiti;Concept;graffitoType;piece (graffiti) $$ masterpieces $$ masterpiece;;Works of graffiti art that are large, colorful, and stylistically elaborate and that require a greater amount of time and expertise to create.;;;http://vocab.getty.edu/page/aat/300410272;exactMatch;;;;
primingBackground;concept;priming (technique);surfaceCoveringProcessesAndTechniquesGT;Concept;componentPart $$ activity;backgrounds (priming) $$ background (priming);;;;;;;https://www.wikidata.org/wiki/Q13217555;broadMatch;;
processesAndTechniquesBySpecificTypeGT;guide term;processes and techniques by specific type <guide term>;ProcessesAndTechniquesHN;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300053003;exactMatch;;;;
ProcessesAndTechniquesHN;hierarchy name;Processes and Techniques <hierarchy name>;ActivitiesF;Concept;;;;"The Processes and Techniques hierarchy contains terms for actions and methods performed physically on or with materials and objects, and for processes occurring in materials and objects. Included are types of process or technique pertaining to the production and handling of objects or images (e.g., ""assembling"") or of substances (e.g., ""mixing"") or relevant to the manipulation and processing of specific materials (e.g., ""soldering""). Also included are terms for processes that occur in substances or objects, sometimes initiated intentionally and sometimes occurring spontaneously (e.g., ""burning""). Relation to other hierarchies: Terms for organizational, administrative, or intellectual activities conducted to accomplish specific purposes (e.g., ""analysis""), including terms relating to the collecting of objects and various other professional activities (e.g., ""collections management""), are found in the Functions hierarchy. Terms that designate branches of learning (e.g., ""anthropology"") are found in the Disciplines hierarchy, while the processes and techniques associated with these fields are contained here. Terms for physical and mental actions not performed to manipulate materials or fabricate objects (e.g., ""running;"" ""meditation"") are in the Physical and Mental Activities hierarchy. Certain terms that refer to degenerative forces on materials or structures (e.g., ""stress"") are in the Associated Concepts hierarchy. Descriptors for certain effects caused by processes occurring in materials and objects (e.g., ""cracks"") appear in the Conditions and Effects hierarchy.";;;http://vocab.getty.edu/page/aat/300053001;exactMatch;;;;
productionsGraffiti;concept;productions (graffiti);graffitiConcepts;Concept;conceptIdea;production (graffiti);;Larger and more involved graffiti art 'pieces' that involve several artists working together. These are achieved legally, where permission has been granted or the work commissioned.;;;http://vocab.getty.edu/page/aat/300410281;exactMatch;;;;
publicAndInteractiveActivitiesGT;guide term;public and interactive activities <guide term>;physicalActivitiesBySpecificContextGT;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300379951;exactMatch;;;;
reverseGraffitiTechnique;concept;reverse graffiti (technique);subtractiveProcessesAndTechniquesGT;Concept;activity;;"This concept refers to a subtractive process of graffiti creation, where dirt is cleaned off a surface in a specific patters to create a picture or leave a message.";;;;;;;;;
reverseGraffitiWriting;concept;reverse graffiti (writing);writingGraffiti;Concept;graffitoType;reverse graffito (writing) $$ graffiti, reverse $$ graffito, reverse;;;;;;;https://www.wikidata.org/wiki/Q1810315;exactMatch;;
rollingUpTechnique;concept;rolling up (technique);surfaceCoveringProcessesAndTechniquesGT;Concept;activity;;;Applying ink to a printing plate or block or through a stencil with a roller.;;;http://vocab.getty.edu/page/aat/300053313;closeMatch;;;;
rollUpsGraffiti;concept;roll ups (graffiti);writingGraffiti;Concept;graffitoType;roll up (graffiti);"In regard to graffiti, this refers to using rollers attached to telescopic rod (painting equipment) to create a graffito in a higher up place, which you normally could not reach from the ground.";;;;;;;;;
scratchingsGraffiti;concept;scratchings (graffiti);writingGraffiti;Concept;graffitoType;scratchning (graffiti);;"Refers to art works created by scratching or engraving a design into a board or other surface that has been prepared by covering with ink, so that the color of the board shows through the scratched design. Colored wax or paint may be applied to create a design on any paper board, or the board may be commercially produced ""scratchboard."" India ink is often used to cover the wax or paint. A stylus or other sharp instrument is generally used to scratch or scrape away the design.";;;http://vocab.getty.edu/page/aat/300264764;exactMatch;;;;
scratchingTechnique;concept;"scratching (technique) ";subtractiveProcessesAndTechniquesGT;Concept;activity;;;The action, process, or technique of making slight linear abrasions on a surface of any kind. May refer to damage, or to a technique for creation of art, such as in printmaking.;;;http://vocab.getty.edu/page/aat/300379457;exactMatch;;;;
scriptAndTypeFormsGT;guide term;script and type forms <guide term>;informationFormComponents;Concept;;;;-;;;http://vocab.getty.edu/page/aat/300201263;exactMatch;;;;
scriptAndTypeSigns;concept;script and type signs;scriptAndTypeFormsGT;Concept;;;;-;;;http://vocab.getty.edu/page/aat/300194297;exactMatch;;;;
sculpturesGraffiti;concept;"sculptures (graffiti) ";streetArtGraffiti;Concept;graffitoType;sculpture (graffiti);;"Three-dimensional works of art in which images and forms are produced in relief, in intaglio, or in the round. The term refers particularly to art works created by carving or engraving a hard material, by molding or casting a malleable material (which usually then hardens), or by assembling parts to create a three-dimensional object. It is typically used to refer to large or medium-sized objects made of stone, wood, bronze, or another metal. Small objects are typically referred to as ""carvings"" or another appropriate term. ""Sculpture"" refers to works that represent tangible beings, objects, or groups of objects, or are abstract works that have defined edges and boundaries and can be measured. As three-dimensional works become more diffused in space or time, or less tangible, use appropriate specific terms, such as ""mail art"" or ""environmental art.""";;;http://vocab.getty.edu/page/aat/300047090;exactMatch;https://www.wikidata.org/wiki/Q860861;exactMatch;;
secondOutlinesGraffiti;concept;second outlines (graffiti);outlinesGraffiti;Concept;componentPart;second outline (graffiti) $$ outlines, second (graffiti) $$ outline, second (graffti);;;;;;;https://www.wikidata.org/wiki/Q59507148;relatedMatch;;
secondRowsGraffiti;concept;second rows (graffiti);openSpacesByLocationOrContextGT;Concept;communityTerm;rows, second $$ second row $$ row, second;;;;;;;;;;
semiWildstyleGraffiti;concept;semi Wildstyle (graffiti);stylesWriting;Concept;style;Wildstyle, semi;;;;;;;;;;
shadowsGraffiti;concept;shadows (graffiti);backgroundsGraffiti;Concept;componentPart;shadow (graffiti);;"Areas of partial darkness produced by a body intercepting the direct rays of the sun or other luminary, so that radiation is unable to reach the darkened area directly.
 ";;;"http://vocab.getty.edu/page/aat/300056036 ";closeMatch;https://www.wikidata.org/wiki/Q160020;relatedMatch;;
signAndElement;collection;sign and element;;Collection;graffitoComponent;;;;;;;;;;;
simpleStyleGraffiti;concept;simple style (graffiti);stylesWriting;Concept;style;style, simple;;;;;;;;;;
sketchbooks;concept;sketchbooks;documentsByFunctionGT;Concept;;sketchbook;;"Books or pads of blank sheets used or intended for sketching, which are informal or rough drawings.
";;;http://vocab.getty.edu/page/aat/300027354;exactMatch;;;;
slogansVerbalGraffiti;concept;slogans (verbal graffiti);verbalGraffitiGraffiti;Concept;graffitoType;slogan;;;;;;;https://www.wikidata.org/wiki/Q42470;closeMatch;;
smiliesGraffiti;concept;smilies (graffiti);motifs;Concept;signAndElement;smiley;;Standardized ideogrammatic symbols used to represent concepts, emotional states, or other information wordlessly and succinctly in electronic communications such as text messages, e-mail, and social media. Originally Japanese, from e: “picture, drawing” and moji “letter, character.”;;;"http://vocab.getty.edu/page/aat/300412189 ";broadMatch;https://www.wikidata.org/wiki/Q11241;exactMatch;;
socialMedia;concept;social media;computerNetworkingConcepts;Concept;;;;"Refers to tools, usually a combination of software and database accessible through the World Wide Web, which enable persistent computer-mediated relationships that encompass social networking, blogs, wikis, and social or collaborative tagging. For specific activities that use social media, use relevent terms such as ""social networking.""";;;http://vocab.getty.edu/page/aat/300312269;broadMatch;;;;
socialMediaHandles;concept;social media handles;socialMedia;Concept;;social media handle;"This could be either linked to Instagram, Twitter or other social media platform accounts.";;;;;;;;;
socialScienceConcepts;concept;social science concepts;AssociatedConceptsHN;Concept;;;;Concepts related to the study of institutions and functioning of human society and with the interpersonal relationships of individuals as members of society.;;;http://vocab.getty.edu/page/aat/300239103;exactMatch;;;;
sociologicalConcepts;concept;sociological concepts;socialScienceConcepts;Concept;;;;Concepts that deal with the study of human society.;;;http://vocab.getty.edu/page/aat/300065818;exactMatch;;;;
starsMotifs;concept;stars (motifs);naturalElementMotifs;Concept;signAndElement;star;;Conventionalized figures derived from astronomical stars, having radiating points of any number.;;;"http://vocab.getty.edu/page/aat/300009811 ";exactMatch;https://www.wikidata.org/wiki/Q1191504;exactMatch;;
stencilsStreetArt;concept;stencils (street art);streetArtGraffiti;Concept;graffitoType;stencil;;" Visual works or designs produced by using tools also called ""stencils;"" which are sheets of celluloid, paper, cardboard, or other material in which desired lettering or designs have been cut out so that ink or paint applied to the sheets will reproduce the cut-out designs on the surface beneath.";;;http://vocab.getty.edu/page/aat/300028878;exactMatch;https://www.wikidata.org/wiki/Q504073;exactMatch;;
stickersStreetArt;concept;stickers (street art);streetArtGraffiti;Concept;graffitoType;sticker;;Adhesive-backed slips of paper or similar thin material, usually bearing messages or designs.;;;"http://vocab.getty.edu/page/aat/300207379 ";exactMatch;https://www.wikidata.org/wiki/Q2872553;exactMatch;;
streetArtGraffiti;concept;street art (graffiti);graffiti;Concept;graffitoClass;art, street;;"Contemporary outdoor paintings, drawings, or three-dimensional works on walls, sidewalks, or street surfaces in public thoroughfares of urban environments, sometimes intended to draw attention to urban issues.
 ";;;"http://vocab.getty.edu/page/aat/300056477 ";closeMatch;https://www.wikidata.org/wiki/Q17516;closeMatch;;
streetArtistsGraffiti;concept;street artists (graffiti);graffitists;Concept;graffitoCreator;street artist $$ artists, street;;;;;;;https://www.wikidata.org/wiki/Q2914170;closeMatch;;
style;collection;style;;Collection;graffitoComponent;;;;;;;;;;;
StylesAndPeriodsF;facet;Styles and Periods <facet>;;Concept;;;;Includes the names of art and architecture styles, historical periods, art movements, cultures, and ethnicities. Names of people and sites are included if they designate distinct styles or periods. Examples: Yoruba, Louis XIV, Aztec, German, Neolithic.;;;http://vocab.getty.edu/page/aat/300264088;exactMatch;;;;
StylesAndPeriodsHN;hierarchy name;Styles and Periods <hierarchy name>;StylesAndPeriodsF;Concept;;;;"The Styles and Periods hierarchy contains the names of art and architecture styles, historical periods, art movements, nationalities, ethnicities, and cultures (e.g., ""Renaissance;"" ""Ming;"" ""Yoruba;"" ""Celtic;"" ""Louis XIV;"" ""Italian;"" ""Paleolithic""). Relation to other hierarchies: Terms for religions, which may be considered to describe culture, are found in Associated Concepts. Terms for genres of art, including all the arts not specific to a given people or period (e.g., ""amateur art;"" ""pattern poetry"") are found in the Associated Concepts hierarchy, also here are terms for general approaches to art (e.g., ""realism"") while specific movements named after such approaches are found here (e.g., ""Realist"").";;;"http://vocab.getty.edu/page/aat/300015646 ";exactMatch;;;;
stylesGraffiti;concept;styles (graffiti);stylesPeriodsAndCulturesByGeneralEraGT;Concept;;graffiti style $$ style (graffiti);;;;;;;;;;
stylesPeriodsAndCulturesByGeneralEraGT;guide term;styles, periods, and cultures by general era <guide term>;StylesAndPeriodsHN;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300111078;exactMatch;;;;
stylesSticker;concept;styles (sticker);stylesGraffiti;Concept;;sticker style;;;;;;;;;;
stylesStreetArt;concept;styles (street art);stylesGraffiti;Concept;;street art style;;;;;;;;;;
stylesWriting;concept;styles (writing);stylesGraffiti;Concept;;writing style;;;;;;;;;;
subtractiveProcessesAndTechniquesGT;guide term;"subtractive processes and techniques <guide term> ";processesAndTechniquesBySpecificTypeGT;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300229471;exactMatch;;;;
surfaceCoveringProcessesAndTechniquesGT;guide term;surface covering processes and techniques <guide term>;additiveAndJoiningProcessesAndTechniquesGT;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300229469;exactMatch;;;;
swirlsMotifs;concept;swirls (motifs);motifs;Concept;design;swirl;;;;;;;;;;
symbolsGraffiti;concept;symbols (graffiti);graffiti;Concept;graffitoClass;graffiti symbol $$ symbol (graffiti);;Visible signs (which can include figures, such as personifications, or objects) that stand for something else, often something abstract or invisible.;;;"http://vocab.getty.edu/page/aat/300055878 ";closeMatch;https://www.wikidata.org/wiki/Q3695082;relatedMatch;;
taggingTechnique;concept;tagging (technique);surfaceCoveringProcessesAndTechniquesGT;Concept;activity;;;;;;;;;;;
tagsGraffiti;concept;tags (graffiti);writingGraffiti;Concept;graffitoType;tag;;Stylized forms of graffiti using names or initials as markers. These are considered the most basic form of graffiti art.;;;"http://vocab.getty.edu/page/aat/300410284 ";exactMatch;https://www.wikidata.org/wiki/Q17514;relatedMatch;;
technologyAndRelatedConceptsGT;guide term;technology and related concepts <guide term>;AssociatedConceptsHN;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300056068;exactMatch;;;;
technologyGeneralAssociatedConcept;concept;technology (general associated concept);technologyAndRelatedConceptsGT;Concept;;;;The general application of science and related disciplines, typically to commercial or industrial objectives, often with the implication of mechanical, electronic, or computerized components.;;;http://vocab.getty.edu/page/aat/300056069;exactMatch;;;;
threeDimensional;concept;three-dimensional;formAttributes;Concept;;;;Having, or appearing to have, the three dimensions of length, width, and height.;;;http://vocab.getty.edu/page/aat/300010331;exactMatch;;;;
throwUpsGraffiti;concept;throw ups (graffiti);writingGraffiti;Concept;graffitoType;throw up (graffiti) $$ throwie $$ throw-ups $$ throw-up;;Graffiti art works produced with spray paint, that spell out the artist's name in rounded letters. Usually these are rendered in two colors, one for the body and another for a contrasting outline. These are intended to cover as much surface area as possible in the shortest amount of time without regard to style or technical proficiency.;;;"http://vocab.getty.edu/page/aat/300410271 ";exactMatch;;;;
toysGraffiti;concept;toys (graffiti);peopleByStateOrConditionGT;Concept;communityTerm;toy (graffiti) $$ toy $$ toys;;;;;;;;;;
underlinesGraffiti;concept;underlines (graffiti);outlinesGraffiti;Concept;design;underline (graffiti);;;;;;;https://www.wikidata.org/wiki/Q1187096;closeMatch;;
urbanKnittingsGraffiti;concept;urban knittings (graffiti);streetArtGraffiti;Concept;graffitoType;"urban knitting (graffiti) ";;Works in public space comprising knitted or crocheted adornments, usually installed without institutional oversight.;;;"http://vocab.getty.edu/page/aat/300410377 ";exactMatch;https://www.wikidata.org/wiki/Q579816;exactMatch;;
verbalGraffitiGraffiti;concept;verbal graffiti (graffiti);graffiti;Concept;graffitoClass;"verbal graffito ";;;;;;;;;;
VisualAndVerbalCommunicationHN;hierarchy name;"Visual and Verbal Communication <hierarchy name> ";ObjectsF;Concept;;;;"The Visual and Verbal Communication hierarchy contains terms for works, including images and written documents, having the primary and original function to communicate ideas, concepts, or aesthetic experience through visual, verbal, or performance-based media (e.g., ""books;"" ""diptychs;"" ""symphonies (musical works)""). Although almost any artifact can be considered to communicate visually something about its maker, its origin, or its use, this section concerns those items originally produced with the purpose of transmitting an informational, symbolic, or aesthetic message.";;;http://vocab.getty.edu/page/aat/300264552;exactMatch;;;;
visualWorksByFunctionGT;guide term;visual works by function <guide term>;visualWorksWorks;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300191089;exactMatch;;;;
visualWorksByLocationOrContextGT;guide term;visual works by location or context <guide term>;visualWorksWorks;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300191090;exactMatch;;;;
visualWorksWorks;concept;"visual works (works) ";VisualAndVerbalCommunicationHN;Concept;;;;Works of art, architecture, and any objects that occupy space, are perceived by the sense of sight, and are created or arranged, rather than naturally occurring. Of special interest are those objects conveying a symbolic or expressive meaning or an aesthetic experience, although visual works are not limited only to such works. Visual works generally exclude the intangible, however, designs for works never constructed may be included. Visual works include pictorial and sculptural works, as well as time-based works such as performance art. They also include utilitarian or ceremonial objects of the type collected or valued by museums, cultures, or individuals. Visual works do not include the performing arts.;;;http://vocab.getty.edu/page/aat/300191086;exactMatch;;;;
WildstyleWriting;concept;Wildstyle (writing);stylesWriting;Concept;style;;;A genre of graffiti art with interlocking, highly stylized and often cryptic lettering.;;;http://vocab.getty.edu/page/aat/300410277;exactMatch;https://www.wikidata.org/wiki/Q1810081;exactMatch;;
writersGraffiti;concept;writers (graffiti);graffitists;Concept;graffitoCreator;writer (graffiti);"The person who creates a graffiti writing.";;;;;;;;;
writingGraffiti;concept;writing (graffiti);graffiti;Concept;graffitoClass;;;;;;;;;;;
