Unique identifier	Type	skos:prefLabel @en	skos:broader	rdf:type (skos:)	skos:member	skos:altLabel @en	skos:editorialNote @en	dc:creator	dc:contributor	skos:historyNote @en	skos:note @en (getty)	skos:definition @en	skos:example @en	external concept (getty)	type of match (getty) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	external concept (wikidata)	type of match (wikidata) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	dct:source	skos:related
cutOutsGraffiti	concept	cut outs (graffiti)	pasteUpsGraffiti	Concept	graffitoType	cut out (graffiti) $$ cutouts $$ cutout	"""Cut outs"" in the context of graffiti refer to a specific type of street art technique. This involves the creation of an image, character, or text on a piece of paper or similar material, which is then cut out and affixed to a wall or other surface. The process of creating a cut out allows for a high degree of precision and detail, as the graffitist can take their time to craft the image or text before it is placed in a public space. The use of cut outs is a popular technique among graffitists for several reasons. Firstly, it allows for the creation of complex and detailed images that might be difficult to achieve with traditional spray paint or marker techniques. Secondly, it enables the graffitist to create their work in a private space before placing it in a public location, reducing the risk of being caught in the act of creating graffiti."	Jona Schlegel $$ Stefan Worgin			"""Shapes, forms, or figures cut from, or intended to be cut from, pieces of material such as paper, cardboard, wood, or cloth."" (The J. Paul Getty Trust. �Cutouts�)"			http://vocab.getty.edu/aat/300257411 	closeMatch	https://www.wikidata.org/wiki/Q5137101	closeMatch	The J. Paul Getty Trust. �Cutouts�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300257411.	
dedicationsGraffiti	concept	dedications (graffiti)	graffitiConcepts	Concept	conceptIdea	dedication (graffiti) 	"""Dedications"" in the context of graffiti refer to a specific type of graffito that is created as a tribute or homage to an individual, group, or crew. The person or group to whom the graffito is dedicated is typically mentioned or represented within the piece itself. This can take the form of their name, tag, or some other symbol or representation that is associated with them. Dedications are a way for graffitists to show respect and admiration for their peers, or to commemorate individuals who have had a significant impact on them or their community. They can also serve as a form of memorial for individuals who have passed away."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/aat/300026114	closeMatch	https://www.wikidata.org/wiki/Q1898184	broadMatch		
design	collection	design		Collection	graffitoComponent		"The ""design"" collection is a sub-category within the ""graffito components"" collection of the graffiti thesaurus. It focuses on the visual arrangement and composition of a graffito, including its layout, symmetry, and use of space. This collection includes more specific concepts such as ""arrows"", ""bubbles"", ""clouds"", ""cracks"", ""crowns"", and ""drips"". The ""design"" collection provides a detailed look at the various motifs and design elements that can be used in a graffito, each contributing to its overall aesthetic appeal and visual impact."	Jona Schlegel $$ Stefan Worgin					"The ""design"" collection is exemplified by its sub-concepts. ""Arrows"" are a common motif in graffiti, often used to direct attention or add dynamic movement to a design. ""Bubbles"" refers to a motif where shapes or letters are rendered in a rounded, bubble-like style. ""Clouds"" are often used as a background or framing device, adding depth and context to the main elements of the graffiti. ""Cracks"" are a motif that gives the graffiti a weathered or aged appearance. ""Crowns"" are often used to signify respect or status within the graffiti community. ""Drips"" are a design element that gives the graffiti a raw, spontaneous look, often associated with the use of spray paint. Each of these design elements plays a crucial role in the visual language of graffiti, contributing to its unique aesthetic and expressive potential."						
designElementsAttributes	concept	design elements (attributes)	DesignElementsHN	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""Fundamental ideas and components or parts that are observable in a visual design or work of art, such as lines, points, movement, forms, spaces, colors, textures, and patterns, among others."" (The J. Paul Getty Trust. �Design Elements (Attributes)�)"			http://vocab.getty.edu/aat/300009699 	exactMatch			The J. Paul Getty Trust. �Design Elements (Attributes)�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300009699.	
DesignElementsHN	hierarchy name	Design Elements <hierarchy name>	PhysicalAttributesF	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""The Design Elements hierarchy contains terms for conventionalized and recurring shapes and arrangements of forms used in the design of many types of object and their ornament, that may be expressed regardless of their materials (e.g., ""rosettes;"" ""Celtic crosses""). Relation to other hierarchies: Terms for certain attributes related to shape or position are in the Attributes and Properties hierarchy (e.g., ""convex;"" ""concentric""). Terms for three-dimensional ornamental components or elements that exist only in a given material are found in the Components hierarchy (e.g., ""finials"")."" (The J. Paul Getty Trust. �Design Elements (Hierarchy Name)�)"			http://vocab.getty.edu/aat/300123558	exactMatch			The J. Paul Getty Trust. �Design Elements (Hierarchy Name)�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300123558.	
documentGenres	concept	document genres	informationFormsObjects	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""Refers to the various types or classifications of documents, which are typically physical or digital representations of a body of information that is designed with the capacity to communicate. For the broad meaning of documents as a separate concept in itself, use ""documents."""" (The J. Paul Getty Trust. �Document Genres�)"			http://vocab.getty.edu/aat/300026031	exactMatch			The J. Paul Getty Trust. �Document Genres�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300026031.	
documentsByFunctionGT	guide term	documents by function <guide term> 	documentGenres	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""Collocates descriptors for documents that emphasize a specific purpose for which the document was created."" (The J. Paul Getty Trust. �<documents by Function>�)"			http://vocab.getty.edu/aat/300137955	exactMatch			The J. Paul Getty Trust. �<documents by Function>�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300137955.	
drippingTechnique	concept	dripping (technique)	surfaceCoveringProcessesAndTechniquesGT	Concept	activity		"""Dripping"" in the context of graffiti refers to a technique employed by a graffitist where paint or ink is allowed to drip down the surface of the graffito intentionally. This technique can be used to create a variety of effects, from adding texture and depth to a piece, to conveying a sense of motion or spontaneity.
The use of dripping can also be seen as a form of rebellion against traditional artistic norms, which often value precision and control. By allowing the paint or ink to drip, the graffitist embraces unpredictability and the inherent messiness of the medium. This can give the graffito a raw, organic feel that reflects the often spontaneous and illicit nature of graffiti creation."	Jona Schlegel $$ Stefan Worgin			"""Technique of creating paintings by dripping or pouring paint in a semi-controlled manner onto the support."" (The J. Paul Getty Trust. �Drip Painting�)"			http://vocab.getty.edu/aat/300053347 	closeMatch			The J. Paul Getty Trust. �Drip Painting�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300053347.	
dripsBeginnersMark	concept	drips (beginners' mark)	accidentalSurfaceCoveringProcessesGT	Concept		drip (beginners' mark)	"""Drips"" in the context of graffiti can also indicate a beginner or less experienced graffitist, also referred to as a ""toy"" in the graffiti community. These unintentional drips typically result from a lack of control over the spray can, which can lead to an excess of paint being applied to the surface. This excess paint then drips down the surface, creating streaks that can disrupt the intended design of the graffito.
While some experienced graffitists may intentionally incorporate drips into their work as a stylistic choice, unintentional drips are generally seen as a sign of inexperience. They can detract from the overall appearance of the graffito, making it look messy or poorly executed. Therefore, gaining control over the spray can to prevent unintentional drips is often one of the first skills a new graffitist must master."	Jona Schlegel $$ Stefan Worgin											
dripsMotif	concept	drips (motif)	motifs	Concept	design	drip (motif)	"The term 'drips' within the context of graffiti refers to both a technique employed by graffitists and the resultant visual effect within the graffiti itself. It is not merely a by-product of the spray can medium, but a deliberate stylistic choice that contributes to the overall aesthetic and thematic resonance of the graffiti.
Drips are characterised by their distinct style, often manifesting as elongated, fluid lines that descend from the primary forms of the graffiti. They can be seen as a reductive technique, simplifying the overall design and drawing attention to the raw, unrefined nature of the medium. This technique is often utilised to evoke a sense of movement, dynamism, and spontaneity within the graffiti."	Jona Schlegel $$ Stefan Worgin											
etchingsGraffiti	concept	etchings (graffiti)	writingGraffiti	Concept	graffitoType	etching (graffiti)	"Etchings represent a distinct type of graffiti, created through the use of materials such as acid and etching techniques. Unlike traditional aerosol-based graffiti, etchings offer a unique aesthetic and a degree of permanence.
The creation of etched graffiti involves applying a corrosive substance onto a surface, usually glass or metal, and manipulating it to inscribe a design or text. This results in a visually striking form of graffiti writing that resists conventional removal methods, ensuring its enduring presence.
While etchings share some commonalities with traditional graffiti, such as communicative intent and territorial marking, they are distinguished by their unique production process and visual characteristics. This form of graffiti underscores the innovative spirit of graffitists, who continually explore new methods and materials for self-expression and community engagement."	Jona Schlegel $$ Stefan Worgin											
etchingTechnique	concept	etching (technique)	subtractiveProcessesAndTechniquesGT	Concept	activity		"Etching, as a technique within the realm of graffiti, involves the use of corrosive substances to inscribe a design or text onto a hard surface, typically glass or metal. This method diverges from the more common aerosol-based graffiti, offering a unique aesthetic and a high degree of permanence.
The etching technique requires careful application and manipulation of the corrosive substance to create the desired design. A result is a form of graffiti that is not only visually distinctive but also resistant to standard removal methods, ensuring its long-lasting presence in the public domain.
While the etching technique shares some similarities with traditional graffiti in terms of its communicative intent, it is set apart by its unique production process and visual characteristics. This technique exemplifies the innovative spirit of graffitists, who continually adapt and explore new methods for self-expression within their community."	Jona Schlegel $$ Stefan Worgin			"""Creating marks on the surface of a hard material such as metal or glass, by the controlled corrosive action of acid. Use ""etching (printing process)"" for the series of steps that includes printing from a bitten plate."" (The J. Paul Getty Trust. �Etching (Corroding)�)"			http://vocab.getty.edu/aat/300053840 	closeMatch	https://www.wikidata.org/wiki/Q186986	exactMatch	The J. Paul Getty Trust. �Etching (Corroding)�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300053840.	
fadingsGraffiti	concept	fadings (graffiti)	graffitiConcepts	Concept	componentPart	fading (graffiti)	"Fadings, in the context of graffiti, refer to a specific painting technique that creates a gradient effect. This technique is typically used to fill in the letters or the background of a graffito, adding depth and visual interest to the overall design.
The process of creating fadings involves the careful blending of one colour into another, resulting in a smooth transition that can add a sense of movement and dynamism to the graffiti. This technique requires a high level of skill and control over the spray can, as the graffitist must carefully modulate the pressure and distance to achieve the desired effect.
However, fadings are not merely a technique but also an outcome. The term can refer to the gradient effect itself, which is a distinctive stylistic feature of many graffiti. Fadings can greatly enhance the visual impact of a graffito, contributing to its aesthetic appeal and communicative power."	Jona Schlegel $$ Stefan Worgin											
fame	concept	fame	sociologicalConcepts	Concept	communityTerm		Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""Action or condition of being much talked about, chiefly in a good sense. Reputation derived from great achievements, celebrity, honor, renown."" (The J. Paul Getty Trust. �Fame�)"			http://vocab.getty.edu/aat/300417274 	exactMatch	https://www.wikidata.org/wiki/Q1519566	exactMatch	The J. Paul Getty Trust. �Fame�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300417274.	
figuresRepresentations	concept	figures (representations)	visualWorksByFunctionGT	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""Representations of humans, animals, or mythical beasts, in any medium."" (The J. Paul Getty Trust. �Figures (Representations)�)"			http://vocab.getty.edu/aat/300189808	exactMatch			The J. Paul Getty Trust. �Figures (Representations)�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300189808.	
figureWorks	concept	figure works	visualWorksByFunctionGT	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""Works, in any medium, in which the primary or only subject is the human figure or figures. Used especially when no other iconography is depicted."" (The J. Paul Getty Trust. �Figure Works�)"			http://vocab.getty.edu/aat/300391003	exactMatch			The J. Paul Getty Trust. �Figure Works�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300391003.	
fillInsGraffiti	concept	fill ins (graffiti)	graffitiConcepts	Concept	componentPart	fill in (graffiti)	"Fill ins, within the context of graffiti, denote the technique of colouring or patterning the interior of the letters in a graffito. This technique is a fundamental aspect of graffiti creation, contributing significantly to the visual impact and readability of the design.
The process of creating fill ins involves the application of colour or patterns within the outlined letters of a graffito. This can be achieved through a variety of techniques, including solid colour fills, gradients (or fadings), and intricate patterns. The choice of fill in technique and colour or pattern can greatly influence the overall aesthetic of the graffiti, adding depth, contrast, and visual interest.
Fill ins serve not only a decorative purpose but also a functional one, enhancing the legibility of the graffiti and helping the letters to stand out against the background. This technique is a testament to the graffitist's skill and creativity, allowing for a wide range of stylistic expressions within the confines of the letter forms."	Jona Schlegel $$ Stefan Worgin											
firstLiniesGraffiti	concept	first lines (graffiti)	outlinesGraffiti	Concept	componentPart	first line (graffiti) $$ lines, frist (graffiti) $$ line, first (graffiti)	"First lines, in the context of graffiti, refer to the initial sketch or outline of a graffito. This preliminary stage of the graffiti creation process serves as a foundational guide for the graffitist, providing a blueprint for the overall composition and design of the piece.
The process of creating first lines involves sketching the basic shapes and forms of the graffiti, often with a focus on the lettering. These lines are typically drawn lightly and may be rough or sketchy in nature. They serve as a guide for the subsequent stages of the graffiti creation process, including the application of fill ins and the final outline.
It's important to note that first lines are typically covered or obscured in the final graffito, as they are primarily used for composition and design purposes rather than as a visible element of the final piece. Despite their transient nature, first lines play a crucial role in the graffiti creation process, helping the graffitist to plan their work and achieve a balanced and cohesive design."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/aat/300015618	closeMatch				
firstRowsGraffiti	concept	first rows (graffiti)	openSpacesByLocationOrContextGT	Concept		rows, first (graffiti) $$ first row (graffiti)	"The term 'first row' in the context of graffiti refers to the area of a wall that is easily accessible from ground level. This portion of the wall is typically the most convenient for graffitists to reach without the aid of ladders, scaffolding, or other equipment. Given its accessibility, the first row often becomes a prime location for graffiti placement. However, due to its ease of reach, it is also an area that frequently gets covered or overlaid with new graffiti. This constant layering and overwriting reflect the dynamic and transient nature of graffiti culture, where visibility and space are often contested.
Despite the ephemeral nature of the works placed in the first row, this area plays a significant role within the graffiti landscape. It serves as a canvas for graffitists to express their creativity, communicate with their peers, and engage with the wider public."	Jona Schlegel $$ Stefan Worgin											
formAttributes	concept	form attributes	attributesAndPropertiesBySpecificTypeGT	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""Characteristics and qualities of form."" (The J. Paul Getty Trust. �Form Attributes�)"			http://vocab.getty.edu/aat/300226816	exactMatch			The J. Paul Getty Trust. �Form Attributes�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300226816.	
genderSignsMotifs	concept	gender signs (motif)	motifs	Concept	signAndElement	gender sign (motif)	"Gender signs, as motifs within the realm of graffiti, refer to symbols or signs that represent gender identities. These signs can appear as standalone motifs on a surface, or they may be incorporated into a larger composition, often in conjunction with text, messages, or slogans.
The use of gender signs in graffiti serves various purposes. They can be used to express the graffitist's own gender identity, comment on societal norms and expectations related to gender, or convey a specific message or statement about gender issues. The interpretation of these signs can depend on their context within the graffiti, as well as the cultural and societal norms of the viewer.
Despite their simplicity, gender signs can be powerful symbols within the graffiti landscape. They offer a means for graffitists to engage with complex issues of identity and society, and to communicate these ideas to a broad audience."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q48277	closeMatch		
geometricStyleGraffiti	concept	geometric style (graffiti)	stylesWriting	Concept	style	style, geometric	"The geometric style in graffiti refers to a specific approach where the design, particularly the lettering, adheres to geometric patterns or attributes. This style is characterised by its use of precise lines, angles, and shapes, which lend a sense of order and symmetry to the graffiti.
In the geometric style, letters are often deconstructed into their basic geometric components, such as squares, circles, and triangles. These elements are then reassembled or overlaid in a way that maintains the legibility of the letters while introducing a distinct visual complexity.
The geometric style is a testament to the graffitist's ability to manipulate and reinterpret traditional letter forms. It showcases the versatility of graffiti as a medium for creative expression, and the capacity of graffitists to innovate within the constraints of the alphabet."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q43114389	broadMatch		
gettingUpGraffiti	concept	getting up (graffiti)	fame	Concept	communityTerm		"Getting up' in the context of graffiti refers to the process of gaining recognition or fame within the graffiti community. This term encapsulates the ambition of many graffitists to make their mark and establish their presence within the graffiti-scape. The process of 'getting up' often involves creating and displaying graffiti in numerous or highly visible locations, thereby increasing the visibility of the graffitist's work. It may also involve developing a distinctive style or signature that sets the graffitist's work apart from others.
However, 'getting up' is not solely about visibility or quantity of work. It also involves earning the respect of peers within the graffiti community, often through demonstrating skill, creativity, and a commitment to the culture and ethos of graffiti."	Jona Schlegel $$ Stefan Worgin											
glories	concept	glories	motifs	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""In painting, sculpture, and artistic image-making of various kinds, representations of radiant light or luminosity emanating from divinities, holy persons, and other divine beings or objects, such as the Christian Lamb of God or the word ""God."" Sometimes used by extention to refer to the entire ensemble of light and beings or objects."" (The J. Paul Getty Trust. �Glories�)"			http://vocab.getty.edu/aat/300263370	exactMatch			The J. Paul Getty Trust. �Glories�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300263370.	
graffiti	concept	graffiti	visualWorksByLocationOrContextGT	Concept	graffitoClass	graffito	"Graffiti, in its broadest sense, encompasses any intentional scribble, marking, or design created in public, communal, and even private spaces. This term serves as an umbrella for a wide range of subcategories, including 'street art', 'graffiti symbols', 'graffiti writings', and 'verbal graffiti', each with its own unique characteristics and cultural implications. Graffiti is often associated with the act of marking or altering a space without permission, typically in urban environments. It is a form of expression that transcends traditional boundaries, both physical and societal, to communicate a message, mark territory, or simply exist as a visual element within the graffiti-scape.
While the forms and styles of graffiti can vary greatly, they all share a common purpose: to make a statement, to communicate, and to exist within the public eye. Despite its often transient nature, graffiti plays a significant role in shaping the visual and cultural landscape of our urban environments."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/aat/300015613 $$ http://vocab.getty.edu/aat/300410270 	closeMatch $$ closeMatch	https://www.wikidata.org/wiki/Q17514	exactMatch		
graffitiConcepts	concept	graffiti concepts	conceptsInTheArtsAndHumanitiesGT	Concept			"Graffiti Concepts', a subcategory under the guide term 'Concepts in the Arts and Humanities' in the Getty Art & Architecture Thesaurus (AAT), encapsulates a range of specific ideas and elements that are integral to the understanding and practice of graffiti. This category serves as a collective term for various aspects of graffiti, each representing a unique facet of the graffiti culture and practice.
The concepts included within this category cover a broad spectrum, from the technical aspects of graffiti creation such as 'fill ins' and 'fadings', to thematic elements like 'concept walls' and 'memorials'. They also encompass different forms and purposes of graffiti, from 'commissioned works' to 'messages' and 'greetings'. By grouping these diverse concepts together, the 'Graffiti Concepts' category provides a comprehensive overview of the multifaceted nature of graffiti. It underscores the complexity and richness of graffiti as a form of expression, highlighting the myriad techniques, themes, and purposes that graffitists employ in their work."	Jona Schlegel $$ Stefan Worgin											
graffitists	concept	graffitists	peopleInTheArtsAndRelatedOccupationsGT	Concept	graffitoCreator	graffitist	"A 'graffitist' is an individual who engages in the creation of graffiti. This term is used to denote those who actively participate in the graffiti-scape, contributing to its richness and diversity through their unique expressions and styles. Graffitists are often characterised by their ability to manipulate traditional and non-traditional mediums to create visually striking designs in public, communal, and even private spaces. They employ a range of techniques and styles, from simple tags to complex murals, showcasing their creativity and skill. However, the role of a graffitist extends beyond the physical act of creating graffiti. Graffitists are also cultural participants and communicators, using their work to engage with their community, express their identity, and comment on societal issues.
It's important to note that the term 'graffitist' is not synonymous with 'artist'. While graffitists engage in a form of creative expression, their work exists within its own unique cultural and aesthetic context, separate from traditional art paradigms."	Jona Schlegel $$ Stefan Worgin			"""Refers to people who create humorous, satiric, obscene, or gang-related writings or drawings that are executed anonymously in public places, usually on walls and typically illegally."" (The J. Paul Getty Trust. �Graffiti Artists�)"			http://vocab.getty.edu/aat/300312066	closeMatch	https://www.wikidata.org/wiki/Q15095148	exactMatch	The J. Paul Getty Trust. �Graffiti Artists�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300312066.	
graffitoClass	collection	graffito class		Collection			"The ""graffito class"" collection is a central part of the graffiti thesaurus, categorising the various forms and styles of graffiti. This collection does not fall under a broader category but instead serves as a parent category for a range of more specific concepts. The ""graffito class"" collection captures the diversity of graffiti forms, from ""street art"" and ""graffiti symbols"" to ""verbal graffiti"" and ""graffiti writing"". Each of these terms represents a narrower concept, providing a more detailed understanding of the different graffiti classes."	Jona Schlegel $$ Stefan Worgin					"The ""graffito class"" collection is exemplified by the variety of graffiti forms. ""Street art"" refers to visual artwork created in public locations, often unsanctioned, but also includes officially commissioned pieces. ""Graffiti symbols"" in graffiti are iconic signs or emblems used by graffitists to convey specific meanings or messages. ""Verbal graffiti"" refers to graffiti that primarily uses words or phrases to communicate a message. Lastly, ""graffiti writing"" in the graffiti context refers to creating graffiti, particularly those that involve stylised lettering or tags."						
graffitoComponent	collection	graffito component		Collection			"The ""graffito components"" collection is a pivotal part of the graffiti thesaurus, encompassing the various elements and aspects that constitute a graffito. As a top-level collection, it does not belong to any broader category, but instead serves as a parent category for several more specific collections, including ""component part"", ""concept idea"", ""design"", ""sign and element"", and ""style"". The ""graffito components"" collection provides a comprehensive overview of the different elements that come together to create a graffito, from the physical parts and design elements to the underlying concepts and stylistic features."	Jona Schlegel $$ Stefan Worgin					"The ""graffito components"" collection is exemplified by its sub-collections. The ""component part"" collection includes the physical parts of a graffito, such as the lines, shapes, and colours used. The ""concept idea"" collection encompasses the underlying themes or messages that a graffito may convey. The ""design"" collection refers to the visual arrangement and composition of a graffito, including its layout, symmetry, and use of space. The ""sign and element"" collection includes the various signs, symbols, or iconic elements used in a graffito. Lastly, the ""style"" collection refers to the distinctive visual characteristics or techniques that define a particular graffito or a graffitist's body of work."						
graffitoCreator	collection	graffito creator		Collection			"The ""graffito creator"" collection is a key category within the graffiti thesaurus, focusing on the individuals or groups who create graffiti. As an independent collection, it does not fall under a broader category, but instead serves as a parent category for more specific concepts such as ""graffitists"", ""street artists"", and ""writers"". The ""graffito creator"" collection recognises the diverse range of individuals and groups who contribute to the graffiti landscape, each with their unique styles, techniques, and motivations."	Jona Schlegel $$ Stefan Worgin					"The ""graffito creator"" collection is exemplified by its sub-concepts. ""Graffitists"" is a broad term that encompasses all individuals who create graffiti, regardless of their style or technique. ""Street artists"" refers to individuals or groups who create public art in urban environments, often with a focus on visual aesthetics and social commentary. Their work, while still considered graffiti, often leans towards the more artistic side of the spectrum. ""Writers"", on the other hand, are graffitists who focus on stylised lettering and tags, often prioritising quantity and coverage over the visual complexity of their work."						
graffitoType	collection	graffito type		Collection			"The ""graffito type"" collection is a significant category within the graffiti thesaurus, encompassing the various forms and styles that graffiti can take. This collection stands independently, not falling under a broader category, but instead serving as a parent category for more specific concepts such as ""characters"", ""stencils"", ""slogans"", ""scratchings"", ""tags"", and ""throw ups"". The ""graffito type"" collection captures the wide array of graffiti forms, each with its unique visual characteristics and methods of creation."	Jona Schlegel $$ Stefan Worgin					"The ""graffito type"" collection is exemplified by its sub-concepts. ""Characters"" refers to graffiti that features stylised figures or characters, often seen in street art. ""Stencils"" are a common type of street art where images or designs are created by spraying paint over a pre-cut template. ""Slogans"" are a form of verbal graffiti that primarily uses words or phrases to convey a message. ""Scratchings"" refers to graffiti created by etching or scratching a design into a surface. ""Tags"" are the most basic form of graffiti, consisting of a graffitist's stylised signature. ""Throw ups"" are larger and more elaborate than tags, usually consisting of stylised lettering created with two or three colours. Each of these types represents a unique approach to creating graffiti, reflecting the diversity and creativity within the graffiti community."						
greetingsGraffiti	concept	greetings (graffiti)	graffitiConcepts	Concept	conceptIdea	greeting (graffiti)	Greetings, in the context of graffiti, refer to the practice of adding names to a graffito as a form of acknowledgment or salute. These names often belong to fellow graffitists or individuals who are recognised or respected within the graffiti community. The act of including a greeting within a graffito serves multiple purposes. It can be a way to pay respect, express solidarity, or establish a connection with the person being greeted. It's a testament to the communal aspect of graffiti culture, where recognition and relationships play a significant role. Greetings are typically considered on par with dedications in the hierarchy of graffiti elements. While they may not be the central focus of a graffito, their inclusion adds a layer of personal and social significance to the work, reflecting the interconnectedness of the graffiti-scape.	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q50809272	relatedMatch		
groupsOfPeople	concept	groups of people	peopleAgents	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""General term for types of groups of people."" (The J. Paul Getty Trust. �Groups of People�)"			http://vocab.getty.edu/aat/300192630 	exactMatch			The J. Paul Getty Trust. �Groups of People�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300192630.	
hallsOfFameGraffiti	concept	halls of fame (graffiti)	openSpacesByLocationOrContextGT	Concept		hall of fame (graffiti)	"A 'Hall of Fame' in the context of graffiti refers to a well-known area where numerous graffiti works are created and displayed. Unlike a traditional art gallery, these spaces are not curated; instead, they serve as open canvases where graffitists are free to express their creativity and leave their mark. These areas often become significant within the graffiti community, acting as communal galleries where one can observe a variety of graffiti from different graffitists. They offer a snapshot of the local graffiti-scape, showcasing the diversity of styles, techniques, and themes present within the community. While the term 'Hall of Fame' is also used in the Getty AAT to refer to a built environment, its usage within the graffiti community is more fluid and open to interpretation. It can refer to any space, whether indoor or outdoor, that has become a hotspot for graffiti creation and display. The classification of 'Hall of Fame' within the broader taxonomy of graffiti concepts may require further discussion, given its unique characteristics and significance within the graffiti culture."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/aat/300005813 	broadMatch	https://www.wikidata.org/wiki/Q1046088	relatedMatch		
halosGlories	concept	halos (glories)	glories	Concept		halo (glories)	Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""Glories that comprise a circle, disk, series of lines, or rays of light with which the head of the sacred personage is surrounded. In Hellenistic and Roman art, halos are worn by the sun-god Helios and Roman emperors often appear with a crown of rays. The imagery was picked up in Christian art."" (The J. Paul Getty Trust. �Halos (Glories)�)"			http://vocab.getty.edu/aat/300375684 	exactMatch	https://www.wikidata.org/wiki/Q3341893	exactMatch	The J. Paul Getty Trust. �Halos (Glories)�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300375684.	
halosGraffiti	concept	halos (graffiti)	halosGlories	Concept	design	halo (graffiti)	A 'halo' in the context of graffiti refers to a motif that is often created above a tag, throw up, or piece. Resembling a holy sign, it serves as a symbol of respect and recognition, similar to the use of a 'crown' in graffiti. The inclusion of a halo in a graffito is a testament to the skill and reputation of the graffitist. It is often used to signify that the graffitist is highly skilled, respected, or even considered a 'king' within the graffiti community. Despite its simplicity, the halo is a powerful symbol within the graffiti-scape. It serves as a visual shorthand for the status and esteem of the graffitist, adding a layer of meaning and context to the graffiti.	Jona Schlegel $$ Stefan Worgin											
